feature,rank_shap,shap_importance,model
0_Zero crossing rate,24,0.7631843735679854,Bayesian Ridge
0_Spectral variation,25,0.3286593186238263,Bayesian Ridge
0_Histogram mode,26,0.2790842252941496,Bayesian Ridge
0_Negative turning points,27,0.2659272074097844,Bayesian Ridge
0_Neighbourhood peaks,28,0.1820163039316523,Bayesian Ridge
0_Wavelet absolute mean_27777777.78Hz,29,0.1579973506986161,Bayesian Ridge
0_LPCC_0,30,0.1215889580407024,Bayesian Ridge
0_Spectral entropy,31,0.0982583995351092,Bayesian Ridge
0_LPCC_1,32,0.0810750761704411,Bayesian Ridge
0_Entropy,33,0.0713751999290834,Bayesian Ridge
0_Wavelet energy_125000000.0Hz,34,0.0365929002191999,Bayesian Ridge
0_LPCC_5,35,0.028502626659937,Bayesian Ridge
0_Wavelet entropy,36,0.0241570230273957,Bayesian Ridge
0_Wavelet absolute mean_125000000.0Hz,37,0.0118572642477805,Bayesian Ridge
0_Slope,38,0.0116436502734049,Bayesian Ridge
0_LPCC_6,39,0.0066995144735907,Bayesian Ridge
0_Mean diff,40,0.0015750825902991,Bayesian Ridge
0_Median absolute diff,41,0.0009445092572924,Bayesian Ridge
0_Median diff,42,0.0001707668197961,Bayesian Ridge
0_Peak to peak distance,1,33.228362541664346,XGBoost
0_Spectral entropy,2,18.82817532815256,XGBoost
0_Autocorrelation,3,11.532590403859029,XGBoost
0_Absolute energy,4,4.987545093788706,XGBoost
0_Entropy,5,3.85705327652339,XGBoost
0_Spectral variation,6,3.4271728365331584,XGBoost
0_Interquartile range,7,2.489231707803905,XGBoost
0_Histogram mode,8,1.2869405278563495,XGBoost
0_Wavelet absolute mean_125000000.0Hz,9,1.1537677747468156,XGBoost
0_MFCC_5,10,0.9883584806678812,XGBoost
0_Mean diff,11,0.9100675142764426,XGBoost
0_Max,12,0.8071377278943235,XGBoost
0_LPCC_0,13,0.7712676777355995,XGBoost
0_MFCC_11,14,0.769089592285206,XGBoost
0_Fundamental frequency,15,0.710530881230036,XGBoost
0_MFCC_8,16,0.7050615086443721,XGBoost
0_MFCC_0,17,0.5373149978826445,XGBoost
0_MFCC_10,18,0.5275221710339191,XGBoost
0_Wavelet energy_125000000.0Hz,19,0.4852907740987838,XGBoost
0_Wavelet entropy,20,0.4578088272580878,XGBoost
0_Slope,21,0.4268017799240848,XGBoost
0_LPCC_1,22,0.4093626663500443,XGBoost
0_Mean,23,0.2792978524409235,XGBoost
0_Spectral decrease,24,0.2719859153012434,XGBoost
0_ECDF Percentile_0,25,0.2640644271170099,XGBoost
0_MFCC_4,26,0.2561748385193447,XGBoost
0_Wavelet absolute mean_27777777.78Hz,27,0.2244057785362005,XGBoost
0_Median,28,0.2068013936675464,XGBoost
0_MFCC_9,29,0.1608439679529518,XGBoost
0_LPCC_6,30,0.1593832432295195,XGBoost
0_Spectral positive turning points,31,0.1545755752696345,XGBoost
0_LPCC_5,32,0.1341409318201243,XGBoost
0_Median frequency,33,0.1121880379224816,XGBoost
0_ECDF Percentile_1,34,0.0919673462574059,XGBoost
0_Maximum frequency,35,0.0741640563622117,XGBoost
0_Neighbourhood peaks,36,0.0741238289463954,XGBoost
0_Median diff,37,0.0727251902068654,XGBoost
0_Median absolute diff,38,0.0705306057552496,XGBoost
0_Zero crossing rate,39,0.0441594851796825,XGBoost
0_Negative turning points,40,0.0161651556819677,XGBoost
0_Power bandwidth,41,0.0,XGBoost
0_Spectral roll-on,42,0.0,XGBoost
0_Spectral entropy,1,9.729780016564217,SVR
0_Peak to peak distance,2,9.474776629585646,SVR
0_Spectral decrease,3,8.658217967159834,SVR
0_Mean diff,4,8.582303628328697,SVR
0_ECDF Percentile_0,5,8.338931896248157,SVR
0_LPCC_0,6,7.743655273809762,SVR
0_Interquartile range,7,7.308077116782,SVR
0_Spectral variation,8,7.119174164998091,SVR
0_Absolute energy,9,7.010003992237501,SVR
0_Median,10,6.933322523569059,SVR
0_Wavelet absolute mean_27777777.78Hz,11,6.248705213946589,SVR
0_Slope,12,4.663200672622073,SVR
0_MFCC_11,13,2.455102207759031,SVR
0_Max,14,2.0603716937377303,SVR
0_Autocorrelation,15,2.03978163568211,SVR
0_Wavelet absolute mean_125000000.0Hz,16,1.9313018646510447,SVR
0_MFCC_5,17,1.406303615594641,SVR
0_Mean,18,1.203878045480457,SVR
